time,SLP_N,SNO_N,TS_N,Extent_Had_Diff_N
2029-03-01,101787.47,8.157225e-06,249.23413,-3.0037339180937153
2029-04-01,102331.48,6.961545e-06,256.8134,-2.119633951726094
2029-05-01,101724.78,7.770083e-06,265.90814,-1.415180231459809
2029-06-01,101446.47,4.3279933e-06,274.92218,-2.0596684916466668
2029-07-01,100638.836,3.7489237e-06,277.51752,-2.3793306284897113
2029-08-01,100919.02,6.04869e-06,276.45212,-1.4305123725146682
2029-09-01,100885.61,9.839602e-06,270.67563,-0.7059223242763837
2029-10-01,101020.82,1.1234932e-05,260.85236,-1.512500231405145
2029-11-01,100629.22,1.1358764e-05,252.16391,-2.308337016861522
2029-12-01,101118.25,8.366019e-06,248.87569,-3.08983154438876
2030-01-01,101186.37,1.02034455e-05,247.38702,-3.775606478939805
2030-02-01,101282.414,8.403608e-06,247.13704,-4.013143596255995
2030-03-01,102668.08,7.098574e-06,249.47382,-3.7548798580457117
2030-04-01,101788.71,8.9359055e-06,255.02472,-2.7613900755420993
2030-05-01,101339.33,8.005583e-06,266.5274,-2.1619686926318042
2030-06-01,101592.13,5.4270513e-06,275.0704,-2.232724570086667
2030-07-01,100839.67,3.5450964e-06,277.45663,-2.683207066689709
2030-08-01,101219.06,4.4496473e-06,276.37817,-1.7817347035906668
2030-09-01,100849.08,9.644813e-06,271.05112,-0.8484082791963825
2030-10-01,101336.44,1.1894049e-05,262.5108,-2.110402487021142
2030-11-01,100812.1,1.02294125e-05,253.76428,-2.7576577389735224
2030-12-01,100905.76,9.592374e-06,250.43518,-3.5795661842367625
2031-01-01,101415.195,7.988333e-06,248.06764,-3.8320179843238087
2031-02-01,102007.75,7.359671e-06,246.93695,-3.8416615745359977
2031-03-01,101873.96,8.229326e-06,252.09196,-3.567415305461715
2031-04-01,101980.04,7.516001e-06,257.5388,-2.987617130966097
2031-05-01,101805.51,7.5212865e-06,266.69525,-2.330379640703809
2031-06-01,101436.945,5.3617478e-06,275.51834,-3.2338658122266697
2031-07-01,101142.945,3.402271e-06,277.6988,-3.1796743476657117
2031-08-01,101292.41,5.577683e-06,276.3913,-2.5261218138426687
2031-09-01,101168.8,9.7022685e-06,270.24942,-1.6482150508363835
2031-10-01,101642.78,1.0647956e-05,262.12152,-2.7509191674931444
2031-11-01,101774.71,8.768934e-06,255.20128,-3.4915469848375214
2031-12-01,101086.63,8.25373e-06,247.28755,-4.0001059210207615
2032-01-01,100894.73,8.535007e-06,243.82999,-4.39026209901181
2032-02-01,102147.95,8.1483595e-06,246.72636,-4.485015501591995
2032-03-01,102284.03,6.350944e-06,250.2754,-4.049736569989712
2032-04-01,102445.266,6.690785e-06,255.76065,-3.392207802414097
2032-05-01,102277.29,5.8313963e-06,267.16653,-2.592041979699804
2032-06-01,101044.945,4.9327396e-06,275.44754,-3.0144322753386685
2032-07-01,101078.93,3.6109782e-06,277.92157,-3.116006189085713
2032-08-01,101009.76,6.9256844e-06,276.37448,-1.9338798421226677
2032-09-01,101509.55,8.798763e-06,270.92813,-1.4922164283483834
2032-10-01,100736.09,1.1460692e-05,262.38278,-2.3786685662851426
2032-11-01,100995.16,9.679897e-06,251.56216,-3.2609978024055195
2032-12-01,101089.2,8.53415e-06,249.51822,-3.6112038069687653
2033-01-01,101127.32,8.180677e-06,243.62422,-4.181344220923808
2033-02-01,100841.336,9.28114e-06,246.12224,-4.392399349055999
2033-03-01,101638.97,9.016315e-06,251.97589,-4.269538593549717
2033-04-01,101309.06,8.004702e-06,258.56766,-3.259163614998096
2033-05-01,101693.414,7.221929e-06,267.21918,-2.460110055123806
2033-06-01,101507.555,3.5696594e-06,275.3727,-2.924634034270669
2033-07-01,101111.875,2.5429993e-06,277.43124,-2.9587042448817122
2033-08-01,101228.18,6.8435766e-06,275.9262,-2.362253009202668
2033-09-01,101039.49,1.0593014e-05,270.55988,-1.5776513803203835
2033-10-01,101631.125,1.00805555e-05,261.57816,-2.121493923781143
2033-11-01,102013.445,9.225007e-06,253.63991,-3.579991812505522
2033-12-01,101756.85,8.412711e-06,248.86926,-3.6580293149927616
2034-01-01,101528.11,7.931176e-06,246.7786,-3.941847816387808
2034-02-01,102223.76,6.344732e-06,244.35834,-4.044436330967997
2034-03-01,101900.55,7.662894e-06,250.04048,-3.3951429705337155
2034-04-01,101328.89,8.708326e-06,255.00584,-2.6850674548500955
2034-05-01,101543.414,7.5001767e-06,267.2687,-2.013203152999804
2034-06-01,100938.69,5.9888166e-06,274.94135,-2.4067313228866727
2034-07-01,101075.21,4.2146366e-06,277.29236,-2.7753201589377134
2034-08-01,100994.27,3.258418e-06,276.09134,-2.3673947103346666
2034-09-01,100774.14,1.04581395e-05,271.07867,-1.2374521360203836
2034-10-01,101326.02,1.0284427e-05,261.98264,-2.3650965074451413
2034-11-01,100792.18,1.0721311e-05,254.24088,-3.1901723938575213
2034-12-01,100958.695,9.100448e-06,248.60031,-3.4383512501647626
2035-01-01,102650.1,6.624916e-06,244.68004,-3.8982826866518074
2035-02-01,102124.18,6.383769e-06,246.79234,-3.769395330287999
2035-03-01,102349.836,7.796352e-06,249.38246,-3.662659602469713
2035-04-01,101349.945,8.405682e-06,257.23425,-2.7816275692620955
2035-05-01,101741.79,7.0631504e-06,267.68488,-1.9607119484438087
2035-06-01,101185.19,5.9791073e-06,275.65335,-2.4842712978906683
